BluetoothTracker-0 is close to door 2 at location 53.3762186822289, -6.52740644601692 -- 53.376277685, -6.527380943 dat 2025-02-14 09:35:55.893182
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:35:55.895081'}
BluetoothTracker-0 is close to door 3 at location 53.37731785091936, -6.526657606950425 -- 53.377347103, -6.526683569 dat 2025-02-14 09:36:49.379836
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:36:49.379836'}
BluetoothTracker-0 is close to door 3 at location 53.37731379458474, -6.526744324097518 -- 53.377347103, -6.526683569 dat 2025-02-14 09:37:22.771674
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:37:22.771674'}
BluetoothTracker-0 is close to door 2 at location 53.376284749404334, -6.527432681876434 -- 53.376277685, -6.527380943 dat 2025-02-14 09:38:16.530696
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:38:16.530696'}
BluetoothTracker-0 is close to door 2 at location 53.37622218169836, -6.527407835687183 -- 53.376277685, -6.527380943 dat 2025-02-14 09:38:36.768873
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:38:36.768873'}
BluetoothTracker-0 is close to door 3 at location 53.37731695672317, -6.526676723258636 -- 53.377347103, -6.526683569 dat 2025-02-14 09:39:30.521594
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:39:30.521594'}
BluetoothTracker-0 is close to door 3 at location 53.37731472775608, -6.52672437457067 -- 53.377347103, -6.526683569 dat 2025-02-14 09:40:03.927160
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:40:03.927160'}
BluetoothTracker-0 is close to door 2 at location 53.37627423274874, -6.527428505619514 -- 53.376277685, -6.527380943 dat 2025-02-14 09:40:57.536574
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:40:57.536574'}
BluetoothTracker-0 is close to door 2 at location 53.37622137242519, -6.527407514317652 -- 53.376277685, -6.527380943 dat 2025-02-14 09:41:16.785506
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:41:16.785506'}
BluetoothTracker-0 is close to door 3 at location 53.377317422962115, -6.526666755907631 -- 53.377347103, -6.526683569 dat 2025-02-14 09:42:10.380398
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:42:10.380996'}
BluetoothTracker-0 is close to door 3 at location 53.37731438307667, -6.526731743197114 -- 53.377347103, -6.526683569 dat 2025-02-14 09:42:43.831107
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:42:43.831107'}
BluetoothTracker-0 is close to door 2 at location 53.37627983588939, -6.5274307306762065 -- 53.376277685, -6.527380943 dat 2025-02-14 09:43:37.462945
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:43:37.462945'}
BluetoothTracker-0 is close to door 2 at location 53.37622160208893, -6.527407605519156 -- 53.376277685, -6.527380943 dat 2025-02-14 09:43:57.728220
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:43:57.728220'}
BluetoothTracker-0 is close to door 3 at location 53.37731745317943, -6.526666109915653 -- 53.377347103, -6.526683569 dat 2025-02-14 09:44:51.307499
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:44:51.307499'}
BluetoothTracker-0 is close to door 3 at location 53.377314168460735, -6.526736331300384 -- 53.377347103, -6.526683569 dat 2025-02-14 09:45:24.688016
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:45:24.688016'}
BluetoothTracker-0 is close to door 2 at location 53.37628940111352, -6.5274345291112805 -- 53.376277685, -6.527380943 dat 2025-02-14 09:46:18.224167
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:46:18.225193'}
BluetoothTracker-0 is close to door 2 at location 53.376219572459846, -6.527406799535498 -- 53.376277685, -6.527380943 dat 2025-02-14 09:46:38.379234
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:46:38.379234'}
BluetoothTracker-0 is close to door 3 at location 53.377317855598115, -6.5266575069270925 -- 53.377347103, -6.526683569 dat 2025-02-14 09:47:31.846529
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:47:31.848498'}
BluetoothTracker-0 is close to door 3 at location 53.37731384679296, -6.52674320797951 -- 53.377347103, -6.526683569 dat 2025-02-14 09:48:05.257734
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:48:05.257734'}
BluetoothTracker-0 is close to door 2 at location 53.376289360355464, -6.527434512925898 -- 53.376277685, -6.527380943 dat 2025-02-14 09:48:58.913615
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:48:58.913615'}
BluetoothTracker-0 is close to door 2 at location 53.37621992533675, -6.5274069396660375 -- 53.376277685, -6.527380943 dat 2025-02-14 09:49:19.085740
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:49:19.085740'}
BluetoothTracker-0 is close to door 3 at location 53.37731780816306, -6.526658521003299 -- 53.377347103, -6.526683569 dat 2025-02-14 09:50:12.563720
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:50:12.563720'}
BluetoothTracker-0 is close to door 3 at location 53.37731635701026, -6.526689544043196 -- 53.377347103, -6.526683569 dat 2025-02-14 09:50:46.895235
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:50:46.895235'}
BluetoothTracker-0 is close to door 2 at location 53.376301547075975, -6.527439352380364 -- 53.376277685, -6.527380943 dat 2025-02-14 09:51:39.383873
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:51:39.387955'}
BluetoothTracker-0 is close to door 2 at location 53.37622003608901, -6.52740698364674 -- 53.376277685, -6.527380943 dat 2025-02-14 09:51:59.581527
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:51:59.581527'}
BluetoothTracker-0 is close to door 3 at location 53.377317477445914, -6.526665591141788 -- 53.377347103, -6.526683569 dat 2025-02-14 09:52:53.182483
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:52:53.183040'}
BluetoothTracker-0 is close to door 3 at location 53.37731423907456, -6.5267348217036245 -- 53.377347103, -6.526683569 dat 2025-02-14 09:53:26.600305
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:53:26.600305'}
BluetoothTracker-0 is close to door 2 at location 53.37628480993232, -6.527432705912633 -- 53.376277685, -6.527380943 dat 2025-02-14 09:54:20.193513
